channel x_pos y_pos z_pos
327 -150 50 1630
328 -150 50 1620
329 -150 50 1610
330 -150 50 1600
331 -150 50 1590
332 -150 50 1580
333 -150 50 1570
334 -150 50 1560
335 -150 50 1550
336 -150 50 1540
337 -150 50 1530
338 -150 50 1520
339 -150 50 1510
340 -150 50 1500
341 -150 50 1490
342 -150 50 1480
343 -150 50 1470
344 -150 50 1460
345 -150 50 1450
346 -150 50 1440
347 -150 50 1430
348 -150 50 1420
349 -150 50 1410
350 -150 50 1400
351 -150 50 1390
352 -150 50 1380
353 -150 50 1370
354 -150 50 1360
355 -150 50 1350
356 -150 50 1340
357 -150 50 1330
358 -150 50 1320
359 -150 50 1310
360 -150 50 1300
361 -150 50 1290
362 -150 50 1280
363 -150 50 1270
364 -150 50 1260
365 -150 50 1250
366 -150 50 1240
367 -150 50 1230
368 -150 50 1220
369 -150 50 1210
370 -150 50 1200
371 -150 50 1190
372 -150 50 1180
373 -150 50 1170
374 -150 50 1160
375 -150 50 1150
376 -150 50 1140
377 -150 50 1130
378 -150 50 1120
379 -150 50 1110
380 -150 50 1100
381 -150 50 1090
382 -150 50 1080
383 -150 50 1070
384 -150 50 1060
385 -150 50 1050
386 -150 50 1040
387 -150 50 1030
388 -150 50 1020
389 -150 50 1010
390 -150 50 1000
391 -150 50 990
392 -150 50 980
393 -150 50 970
394 -150 50 960
395 -150 50 950
396 -150 50 940
397 -150 50 930
398 -150 50 920
399 -150 50 910
400 -150 50 900
401 -150 50 890
402 -150 50 880
403 -150 50 870
404 -150 50 860
405 -150 50 850
406 -150 50 840
407 -150 50 830
408 -150 50 820
409 -150 50 810
410 -150 50 800
411 -150 50 790
412 -150 50 780
413 -150 50 770
414 -150 50 760
415 -150 50 750
416 -150 50 740
417 -150 50 730
418 -150 50 720
419 -150 50 710
420 -150 50 700
421 -150 50 690
422 -150 50 680
423 -150 50 670
424 -150 50 660
425 -150 50 650
426 -150 50 640
427 -150 50 630
428 -150 50 620
429 -150 50 610
430 -150 50 600
431 -150 50 590
432 -150 50 580
433 -150 50 570
434 -150 50 560
435 -150 50 550
436 -150 50 540
437 -150 50 530
438 -150 50 520
439 -150 50 510
440 -150 50 500
441 -150 50 490
442 -150 50 480
443 -150 50 470
444 -150 50 460
445 -150 50 450
446 -150 50 440
447 -150 50 430
448 -150 50 420
449 -150 50 410
450 -150 50 400
451 -150 50 390
452 -150 50 380
453 -150 50 370
454 -150 50 360
455 -150 50 350
456 -150 50 340
457 -150 50 330
458 -150 50 320
459 -150 50 310
460 -150 50 300
461 -150 50 290
462 -150 50 280
463 -150 50 270
464 -150 50 260
465 -150 50 250
466 -150 50 240
467 -150 50 230
468 -150 50 220
469 -150 50 210
470 -150 50 200
471 -150 50 190
472 -150 50 180
473 -150 50 170
474 -150 50 160
475 -150 50 150
476 -150 50 140
477 -150 50 130
478 -150 50 120
479 -150 50 110
480 -140 50 2500
481 -140 50 2490
482 -140 50 2480
483 -140 50 2470
484 -140 50 2460
485 -140 50 2450
486 -140 50 2440
487 -140 50 2430
488 -140 50 2420
489 -140 50 2410
490 -140 50 2400
491 -140 50 2390
492 -140 50 2380
493 -140 50 2370
494 -140 50 2360
495 -140 50 2350
496 -140 50 2340
497 -140 50 2330
498 -140 50 2320
499 -140 50 2310
500 -140 50 2300
501 -140 50 2290
502 -140 50 2280
503 -140 50 2270
504 -140 50 2260
505 -140 50 2250
506 -140 50 2240
507 -140 50 2230
508 -140 50 2220
509 -140 50 2210
510 -140 50 2200
511 -140 50 2190
512 -140 50 2180
513 -140 50 2170
514 -140 50 2160
515 -140 50 2150
516 -140 50 2140
517 -140 50 2130
518 -140 50 2120
519 -140 50 2110
520 -140 50 2100
521 -140 50 2090
522 -140 50 2080
523 -140 50 2070
524 -140 50 2060
525 -140 50 2050
526 -140 50 2040
527 -140 50 2030
528 -140 50 2020
529 -140 50 2010
530 -140 50 2000
531 -140 50 1990
532 -140 50 1980
533 -140 50 1970
534 -140 50 1960
535 -140 50 1950
536 -140 50 1940
537 -140 50 1930
538 -140 50 1920
539 -140 50 1910
540 -140 50 1900
541 -140 50 1890
542 -140 50 1880
543 -140 50 1870
544 -140 50 1860
545 -140 50 1850
546 -140 50 1840
547 -140 50 1830
548 -140 50 1820
549 -140 50 1810
550 -140 50 1800
551 -140 50 1790
552 -140 50 1780
553 -140 50 1770
554 -140 50 1760
555 -140 50 1750
556 -140 50 1740
557 -140 50 1730
558 -140 50 1720
559 -140 50 1710
560 -140 50 1700
561 -140 50 1690
562 -140 50 1680
563 -140 50 1670
564 -140 50 1660
565 -140 50 1650
566 -140 50 1640
567 -140 50 1630
568 -140 50 1620
569 -140 50 1610
570 -140 50 1600
571 -140 50 1590
572 -140 50 1580
573 -140 50 1570
574 -140 50 1560
575 -140 50 1550
576 -140 50 1540
577 -140 50 1530
578 -140 50 1520
579 -140 50 1510
580 -140 50 1500
581 -140 50 1490
582 -140 50 1480
583 -140 50 1470
584 -140 50 1460
585 -140 50 1450
586 -140 50 1440
587 -140 50 1430
588 -140 50 1420
589 -140 50 1410
590 -140 50 1400
591 -140 50 1390
592 -140 50 1380
593 -140 50 1370
594 -140 50 1360
595 -140 50 1350
596 -140 50 1340
597 -140 50 1330
598 -140 50 1320
599 -140 50 1310
600 -140 50 1300
601 -140 50 1290
602 -140 50 1280
603 -140 50 1270
604 -140 50 1260
605 -140 50 1250
606 -140 50 1240
607 -140 50 1230
608 -140 50 1220
609 -140 50 1210
610 -140 50 1200
611 -140 50 1190
612 -140 50 1180
613 -140 50 1170
614 -140 50 1160
615 -140 50 1150
616 -140 50 1140
617 -140 50 1130
618 -140 50 1120
619 -140 50 1110
620 -140 50 1100
621 -140 50 1090
622 -140 50 1080
623 -140 50 1070
624 -140 50 1060
625 -140 50 1050
626 -140 50 1040
627 -140 50 1030
628 -140 50 1020
629 -140 50 1010
630 -140 50 1000
631 -140 50 990
632 -140 50 980
633 -140 50 970
634 -140 50 960
635 -140 50 950
636 -140 50 940
637 -140 50 930
638 -140 50 920
639 -140 50 910
640 -140 50 900
641 -140 50 890
642 -140 50 880
643 -140 50 870
644 -140 50 860
645 -140 50 850
646 -140 50 840
647 -140 50 830
648 -140 50 820
649 -140 50 810
650 -140 50 800
651 -140 50 790
652 -140 50 780
653 -140 50 770
654 -140 50 760
655 -140 50 750
656 -140 50 740
657 -140 50 730
658 -140 50 720
659 -140 50 710
660 -140 50 700
661 -140 50 690
662 -140 50 680
663 -140 50 670
664 -140 50 660
665 -140 50 650
666 -140 50 640
667 -140 50 630
668 -140 50 620
669 -140 50 610
670 -140 50 600
671 -140 50 590
672 -140 50 580
673 -140 50 570
674 -140 50 560
675 -140 50 550
676 -140 50 540
677 -140 50 530
678 -140 50 520
679 -140 50 510
680 -140 50 500
681 -140 50 490
682 -140 50 480
683 -140 50 470
684 -140 50 460
685 -140 50 450
686 -140 50 440
687 -140 50 430
688 -140 50 420
689 -140 50 410
690 -140 50 400
691 -140 50 390
692 -140 50 380
693 -140 50 370
694 -140 50 360
695 -140 50 350
696 -140 50 340
697 -140 50 330
698 -140 50 320
699 -140 50 310
700 -140 50 300
701 -140 50 290
702 -140 50 280
703 -140 50 270
704 -140 50 260
705 -140 50 250
706 -140 50 240
707 -140 50 230
708 -140 50 220
709 -140 50 210
710 -140 50 200
711 -140 50 190
712 -140 50 180
713 -140 50 170
714 -140 50 160
715 -140 50 150
716 -140 50 140
717 -140 50 130
718 -140 50 120
719 -140 50 110
720 -130 50 2500
721 -130 50 2490
722 -130 50 2480
723 -130 50 2470
724 -130 50 2460
725 -130 50 2450
726 -130 50 2440
727 -130 50 2430
728 -130 50 2420
729 -130 50 2410
730 -130 50 2400
731 -130 50 2390
732 -130 50 2380
733 -130 50 2370
734 -130 50 2360
735 -130 50 2350
736 -130 50 2340
737 -130 50 2330
738 -130 50 2320
739 -130 50 2310
740 -130 50 2300
741 -130 50 2290
742 -130 50 2280
743 -130 50 2270
744 -130 50 2260
745 -130 50 2250
746 -130 50 2240
747 -130 50 2230
748 -130 50 2220
749 -130 50 2210
750 -130 50 2200
751 -130 50 2190
752 -130 50 2180
753 -130 50 2170
754 -130 50 2160
755 -130 50 2150
756 -130 50 2140
