24.7 73
26.6 503
26.9 44
27.8 201
34.2 45
34.8 175
36.2 505
37.0 504
37.8 319
38.5 476
38.7 61
39.1 218
40.3 296
42.8 435
45.3 57
45.3 481
45.7 196
46.6 492
47.0 170
47.4 503
47.5 180
48.3 479
49.0 184
50.8 490
50.8 62
51.0 469
52.6 190
52.8 68
53.7 56
53.8 187
54.4 145
54.8 174
54.9 495
55.2 460
55.3 346
55.5 427
55.8 138
56.3 449
56.3 503
56.5 482
56.9 78
56.9 484
57.4 381
57.5 5
57.5 235
57.5 47
57.7 118
57.7 183
58.1 1
58.1 163
58.6 504
58.8 416
58.9 397
58.9 166
59.0 131
59.0 475
59.2 436
59.3 431
59.5 147
59.5 505
59.8 458
60.1 179
60.1 51
60.3 354
60.4 426
60.5 414
60.5 499
60.6 487
60.9 463
61.3 503
61.4 237
61.5 150
61.5 438
61.6 485
61.7 457
61.8 321
61.8 408
61.9 16
62.0 335
62.0 173
62.1 486
62.6 422
62.7 209
62.8 34
62.9 188
62.9 211
62.9 54
63.1 498
63.3 444
63.3 472
63.4 504
63.4 294
63.7 224
63.7 148
63.7 429
63.7 185
63.7 356
63.8 323
63.8 330
64.2 238
64.2 175
64.3 470
64.4 376
64.4 236
64.5 421
64.5 311
64.6 403
64.6 251
64.6 142
64.6 424
64.7 360
64.7 379
64.7 83
64.8 300
64.8 473
64.8 234
64.8 372
64.8 17
64.9 63
64.9 308
64.9 325
65.1 505
65.1 105
65.1 245
65.1 364
65.2 112
65.2 162
65.3 139
65.4 382
65.4 409
65.5 221
65.6 350
65.6 35
65.6 496
65.6 203
65.7 156
65.7 40
65.7 227
65.8 181
65.9 480
66.0 462
66.0 333
66.0 137
66.1 8
66.1 92
66.2 503
66.2 220
66.2 502
66.3 202
66.4 367
66.6 303
66.6 217
66.6 32
66.6 199
66.7 405
66.8 461
66.8 132
66.8 504
66.8 357
66.9 400
67.1 37
67.1 167
67.2 98
67.2 387
67.2 297
67.2 406
67.2 337
67.2 36
67.3 446
67.3 178
67.3 122
67.4 212
67.4 96
67.5 229
67.5 20
67.5 0
67.6 126
67.6 216
67.7 124
67.7 361
67.8 478
67.8 342
67.9 95
68.0 43
68.0 430
68.1 171
68.3 296
68.3 417
68.4 394
68.5 107
68.5 29
68.5 97
68.6 55
68.6 80
68.7 159
68.7 180
68.7 62
68.7 253
68.7 119
68.8 352
68.8 214
68.9 434
68.9 489
68.9 505
69.0 418
69.0 440
69.1 351
69.1 85
69.2 474
69.2 411
69.3 298
69.4 366
69.4 448
69.4 345
69.5 305
69.5 3
69.5 27
69.6 9
69.8 116
69.9 504
69.9 395
69.9 242
69.9 183
69.9 154
69.9 198
70.0 140
70.2 138
70.2 168
70.3 86
70.3 481
70.3 219
70.5 455
70.5 61
70.5 371
70.5 68
70.6 115
70.6 317
70.6 99
70.6 413
70.7 410
70.7 313
70.8 475
70.8 269
71.0 117
71.0 6
71.0 114
71.0 147
71.0 163
71.1 70
71.1 505
71.2 28
71.2 485
71.3 374
71.3 407
71.3 309
71.4 468
71.5 177
71.6 133
71.6 190
71.6 335
71.6 21
71.7 499
71.7 278
71.8 503
71.8 110
71.9 472
71.9 25
71.9 166
72.0 398
72.1 231
72.1 370
72.1 299
72.1 306
72.1 322
72.2 415
72.2 482
72.3 476
72.3 321
72.4 136
72.4 179
72.5 56
72.5 294
72.5 460
72.5 226
72.5 160
72.5 390
72.5 78
72.6 5
72.7 51
72.7 213
72.7 148
72.8 397
72.8 87
72.8 258
72.8 175
72.9 209
72.9 316
72.9 327
72.9 330
72.9 426
73.0 457
73.0 286
73.0 2
73.0 45
73.0 349
73.0 487
73.0 495
73.0 141
73.1 500
73.1 274
73.2 312
73.2 443
73.2 173
73.2 323
73.3 46
73.3 504
73.5 256
73.5 174
73.5 484
73.6 157
73.6 375
73.6 477
73.7 315
73.7 83
73.8 187
73.8 17
73.8 16
73.9 408
73.9 165
74.0 224
74.1 34
74.1 77
74.1 238
74.2 26
74.2 501
74.2 74
74.3 386
74.4 81
74.4 423
74.4 161
74.5 150
74.5 451
74.6 300
74.6 502
74.6 427
74.8 503
74.8 493
74.8 458
74.9 251
74.9 152
74.9 111
74.9 47
75.0 470
75.0 505
75.0 452
75.0 424
75.0 237
75.1 473
75.1 54
75.2 404
75.2 185
75.2 353
75.3 385
75.4 199
75.4 325
75.4 32
75.4 303
75.4 230
75.4 308
75.5 211
75.5 40
75.5 463
75.5 8
75.7 287
75.8 266
75.8 311
76.0 437
76.0 236
76.0 271
76.0 20
76.1 354
76.1 297
76.1 358
76.1 205
76.1 365
76.1 212
76.2 363
76.2 94
76.3 89
76.3 207
76.4 139
76.4 234
76.6 433
76.6 296
76.6 37
76.6 142
76.7 225
76.8 106
76.8 35
76.8 41
76.9 12
76.9 416
77.0 90
77.1 229
77.1 203
77.2 436
77.2 183
77.2 1
77.2 178
77.2 181
77.3 496
77.4 503
77.4 171
77.5 414
77.6 227
77.6 49
77.6 376
77.7 381
77.7 180
77.7 135
77.8 220
77.8 193
77.8 400
77.8 399
77.9 480
77.9 162
78.0 380
78.0 403
78.1 333
78.2 481
78.2 192
78.2 188
78.3 38
78.4 409
78.5 382
78.5 405
78.6 249
78.6 298
78.7 485
78.7 140
78.7 62
78.8 156
78.8 240
78.9 137
78.9 505
78.9 417
78.9 132
78.9 0
79.0 335
79.0 450
79.0 235
79.2 36
79.2 475
79.4 202
79.5 387
79.5 364
79.5 217
79.5 360
79.5 499
79.6 438
79.8 104
79.8 429
79.8 321
79.8 27
79.8 294
79.9 159
79.9 29
79.9 138
79.9 357
80.0 421
80.0 478
80.0 305
80.0 9
80.1 472
80.1 350
80.1 503
80.1 18
80.3 394
80.3 216
80.3 3
80.3 330
80.4 147
80.5 175
80.5 384
80.5 459
80.7 440
80.7 317
80.7 489
80.8 290
80.9 179
80.9 148
80.9 441
81.0 361
81.0 445
81.0 269
81.1 43
81.1 367
81.1 5
81.2 346
81.2 58
81.3 504
81.3 482
81.3 323
81.4 253
81.5 338
81.5 397
81.6 68
81.6 198
81.7 190
81.7 163
81.7 356
81.7 126
81.8 257
81.8 426
81.8 430
81.9 309
81.9 446
81.9 457
81.9 379
81.9 17
82.0 487
82.0 168
82.1 314
82.3 167
82.3 200
82.3 371
82.4 154
82.4 278
82.5 16
82.5 484
82.5 150
82.5 306
82.5 238
82.5 224
82.6 21
82.6 337
82.6 479
82.6 412
82.7 300
82.7 166
82.9 355
82.9 342
82.9 214
83.0 495
83.1 209
83.1 352
83.1 78
83.2 476
83.2 34
83.2 316
83.3 408
83.3 406
83.4 173
83.4 434
83.4 251
83.4 502
83.5 345
83.6 488
83.6 228
83.6 231
83.7 470
83.7 372
83.7 303
83.8 418
83.9 311
84.0 325
84.0 366
84.0 308
84.0 8
84.0 61
84.1 199
84.1 184
84.1 369
84.1 296
84.1 424
84.2 51
84.2 460
84.2 413
84.2 80
84.3 313
84.3 473
84.3 320
84.4 174
84.4 212
84.5 431
84.5 463
84.5 297
84.6 245
84.7 237
84.7 183
84.7 37
84.7 411
84.7 219
84.8 504
84.8 286
84.8 185
84.8 236
85.0 40
85.1 234
85.2 20
85.3 505
85.3 32
85.3 503
85.5 139
85.5 177
85.5 474
85.6 6
85.7 410
85.7 229
85.8 178
85.8 181
85.9 47
85.9 187
86.0 155
86.0 54
86.0 335
86.1 180
86.1 312
86.1 455
86.2 351
86.2 262
