node_type_id ei morphology_file model_processing pop_name location model_template model_type dynamics_params
100 e 1706014110201.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706014110201.json
101 e 1706014110202.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706014110202.json
102 e 1706014110502.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706014110502.json
103 e 1706014110703.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706014110703.json
104 e 1706014110704.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706014110704.json
105 e 1706015210802.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015210802.json
106 e 1706015210901.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015210901.json
107 e 1706015210902.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015210902.json
108 e 1706015210904.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015210904.json
109 e 1706015210906.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015210906.json
110 e 1706015210907.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015210907.json
111 e 1706015211001.swc aibs_allactive_granule GC Granule_cell_layer ctdb:Biophys1.hoc biophysical 1706015211001.json
112 i 529807751.swc aibs_allactive_granule BC Basket_cell_layer ctdb:Biophys1.hoc biophysical 529807751.json
113 i 541536216.swc aibs_allactive_granule BC Basket_cell_layer ctdb:Biophys1.hoc biophysical 541536216.json
